epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.01453,0.94283,2.43434,1.36358,0.00333,1,0.07654,0.02597,0.91873,3.2883,2.53102,0,0,0
2,1.95051,0.7097,2.45427,1.24046,0.00333,1,0.11056,0.03338,0.84651,3.22942,2.57084,1.9604e-05,1.9604e-05,1.9604e-05
3,2.84137,0.83107,2.37284,1.51274,0.00333,1,0.14214,0.03909,0.91759,3.27957,2.50926,3.8416e-05,3.8416e-05,3.8416e-05
4,3.89638,0.52351,2.41318,1.41631,0.00333,1,0.24875,0.06468,0.90179,3.29958,2.50038,5.6436e-05,5.6436e-05,5.6436e-05
5,4.91346,0.93041,2.53474,1.59799,0.00333,1,0.24875,0.06468,0.90179,3.29958,2.50038,7.3664e-05,7.3664e-05,7.3664e-05
6,5.95952,0.82826,2.36946,1.31724,0.00333,1,0.4975,0.1194,0.93105,3.30749,2.49496,9.01e-05,9.01e-05,9.01e-05
7,6.9169,0.52776,2.22591,1.20476,0.00333,1,0.4975,0.1194,0.93105,3.30749,2.49496,0.000105744,0.000105744,0.000105744
8,7.85592,1.21648,2.39194,1.45426,0.00333,1,0.4975,0.12876,0.96813,3.23567,2.63838,0.000120596,0.000120596,0.000120596
9,8.95717,0.74272,2.37541,1.49627,0.00333,1,0.4975,0.12876,0.96813,3.23567,2.63838,0.000134656,0.000134656,0.000134656
10,9.9186,0.54789,2.16059,1.32737,0.00333,1,0.4975,0.11608,0.86522,3.21654,2.64043,0.000147924,0.000147924,0.000147924
11,11.1033,1.00302,2.38139,1.59514,0.00333,1,0.4975,0.11608,0.86522,3.21654,2.64043,0.0001604,0.0001604,0.0001604
12,12.3798,0.61517,2.00254,1.01187,0.00333,1,0.4975,0.11608,0.86522,3.21654,2.64043,0.000172084,0.000172084,0.000172084
13,13.39,1.13229,2.35822,1.74628,0.00333,1,0.995,0.2985,0.83783,3.21256,2.62272,0.000182976,0.000182976,0.000182976
14,14.3043,0.5304,1.78589,1.19571,0.00333,1,0.995,0.2985,0.83783,3.21256,2.62272,0.000193076,0.000193076,0.000193076
15,15.4723,0.71382,1.81674,1.06544,0.00333,1,0.995,0.2985,0.83783,3.21256,2.62272,0.000202384,0.000202384,0.000202384
16,16.4792,0.45678,1.88456,1.0673,0.00333,1,0.995,0.36483,0.91799,3.18478,2.28557,0.0002109,0.0002109,0.0002109
17,17.4196,0.42243,1.57,1.17415,0.00333,1,0.995,0.36483,0.91799,3.18478,2.28557,0.000218624,0.000218624,0.000218624
18,18.3438,0.88006,1.84108,1.53053,0.00333,1,0.995,0.36483,0.91799,3.18478,2.28557,0.000225556,0.000225556,0.000225556
19,19.2897,0.61782,1.77214,1.23249,0.00333,1,0.995,0.36483,0.91799,3.18478,2.28557,0.000231696,0.000231696,0.000231696
20,20.405,0.46667,1.53719,1.09912,0.00333,1,0.995,0.44775,0.90304,3.15975,2.23258,0.000237044,0.000237044,0.000237044
21,21.4915,0.65502,1.46485,1.37288,0.00333,1,0.995,0.44775,0.90304,3.15975,2.23258,0.0002416,0.0002416,0.0002416
22,22.6905,0.59665,1.66611,1.38348,0.00333,1,0.995,0.44775,0.90304,3.15975,2.23258,0.000245364,0.000245364,0.000245364
23,23.6012,0.55212,1.48902,1.02356,0.00333,1,0.995,0.44775,0.90304,3.15975,2.23258,0.000248336,0.000248336,0.000248336
24,24.7356,0.5394,1.44691,1.14019,0.00333,1,0.4975,0.26533,0.8225,3.22158,2.18685,0.000250516,0.000250516,0.000250516
25,25.646,0.54011,1.52986,1.01529,0.00333,1,0.4975,0.26533,0.8225,3.22158,2.18685,0.000251904,0.000251904,0.000251904
26,26.579,0.49472,1.38661,1.07325,0.00333,1,0.4975,0.26533,0.8225,3.22158,2.18685,0.0002525,0.0002525,0.0002525
27,27.4927,0.50786,1.40126,1.22734,0.00333,1,0.4975,0.26533,0.8225,3.22158,2.18685,0.000252304,0.000252304,0.000252304
28,28.6153,0.70089,1.82372,1.24945,0.00333,1,0.4975,0.26533,0.8225,3.22158,2.18685,0.000251316,0.000251316,0.000251316
29,29.5811,0.5371,1.26117,1.00425,0.00333,1,0.4975,0.31508,0.87993,3.10877,1.95691,0.000249536,0.000249536,0.000249536
30,30.5419,0.39515,1.39739,1.03593,0.00333,1,0.4975,0.31508,0.87993,3.10877,1.95691,0.000246964,0.000246964,0.000246964
31,31.4395,0.80921,2.18842,1.41624,0.00333,1,0.4975,0.31508,0.87993,3.10877,1.95691,0.0002436,0.0002436,0.0002436
32,32.5712,0.53806,1.37467,1.23695,0.00333,1,0.4975,0.31508,0.87993,3.10877,1.95691,0.000239444,0.000239444,0.000239444
33,33.6151,0.56241,1.00647,1.05658,0.00333,1,0.4975,0.31508,0.87993,3.10877,1.95691,0.000234496,0.000234496,0.000234496
34,34.5717,0.54694,1.56464,1.14207,0.00333,1,0.4975,0.31508,0.87993,3.10877,1.95691,0.000228756,0.000228756,0.000228756
35,35.6661,0.44556,1.79352,1.02679,0.00333,1,0.995,0.63017,0.74931,3.1208,1.88844,0.000222224,0.000222224,0.000222224
36,36.705,0.44163,1.20587,0.98983,0.00333,1,0.995,0.63017,0.74931,3.1208,1.88844,0.0002149,0.0002149,0.0002149
37,37.6803,0.37448,1.14254,0.98721,0.00333,1,0.995,0.63017,0.74931,3.1208,1.88844,0.000206784,0.000206784,0.000206784
38,38.8461,0.83891,1.899,1.56211,0.00333,1,0.995,0.63017,0.74931,3.1208,1.88844,0.000197876,0.000197876,0.000197876
39,39.7989,0.28526,1.05417,0.92967,0.00333,1,0.995,0.63017,0.74931,3.1208,1.88844,0.000188176,0.000188176,0.000188176
40,40.7409,0.48962,1.30684,1.17135,0.00333,1,0.995,0.63017,0.74931,3.1208,1.88844,0.000177684,0.000177684,0.000177684
41,41.812,0.45154,1.77411,1.01554,0.00333,1,0.995,0.63017,0.74931,3.1208,1.88844,0.0001664,0.0001664,0.0001664
