epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4536,1.16417,2.90936,1.73454,0.00353,1,0.60431,0.40327,0.84477,3.68587,1.93612,0.00041441,0.00041441,0.00041441
2,60.5686,1.05597,2.10942,1.60585,0.58888,0.41667,0.7125,0.52398,1.16019,3.13753,2.32602,0.000834763,0.000834763,0.000834763
3,88.3808,1.04296,1.80679,1.53001,0.52979,0.65933,0.72262,0.50505,1.03826,4.28966,2.24167,0.00124663,0.00124663,0.00124663
4,115.373,0.99294,1.7095,1.50468,0.72201,0.86347,0.80472,0.48784,1.09201,3.63137,2.39524,0.00138656,0.00138656,0.00138656
5,137.862,0.95228,1.5285,1.44921,0.79829,0.82738,0.8916,0.48257,1.49111,5.06941,2.60112,0.00137241,0.00137241,0.00137241
6,160.684,0.90057,1.60437,1.40955,0.84278,0.81721,0.89346,0.48089,1.45905,3.47854,2.51,0.00135826,0.00135826,0.00135826
7,184.583,0.95769,1.57411,1.51251,0.96121,0.87543,0.93214,0.62563,1.25957,1.94966,2.54274,0.00134412,0.00134412,0.00134412
8,205.564,1.00301,1.4276,1.51265,0.86751,0.88889,0.89443,0.66345,1.05628,2.12036,2.23866,0.00132997,0.00132997,0.00132997
9,226.06,0.96854,1.35621,1.49876,0.56058,0.87589,0.78452,0.48478,1.35145,2.02841,2.30085,0.00131582,0.00131582,0.00131582
10,249.947,0.95204,1.30753,1.4267,0.92276,0.95205,0.995,0.58027,1.19259,1.9237,2.24013,0.00130168,0.00130168,0.00130168
11,275.36,0.90365,1.22629,1.41473,0.95129,0.93023,0.995,0.74691,1.07436,1.54202,2.22636,0.00128753,0.00128753,0.00128753
12,301.55,0.89764,1.10333,1.38315,0.86949,0.89434,0.995,0.75351,1.11594,1.50727,2.13964,0.00127338,0.00127338,0.00127338
13,327.707,0.86989,1.08179,1.37068,0.86455,0.98719,0.995,0.69195,1.26449,1.69444,2.53993,0.00125923,0.00125923,0.00125923
14,355.371,0.85338,1.06596,1.37983,0.97116,0.99998,0.995,0.717,1.22204,1.73593,2.33672,0.00124509,0.00124509,0.00124509
15,381.509,0.8746,1.16802,1.34676,0.97349,0.88889,0.9675,0.75649,1.0899,1.41532,2.12543,0.00123094,0.00123094,0.00123094
16,407.395,0.88221,1.10808,1.42346,0.90736,0.97854,0.995,0.73229,1.13905,1.33228,2.4007,0.00121679,0.00121679,0.00121679
17,433.629,0.88992,1.06829,1.40089,0.94423,0.93077,0.995,0.72943,1.1815,1.4147,2.41108,0.00120265,0.00120265,0.00120265
18,460.295,0.79952,1.01114,1.36071,0.98121,0.90562,0.995,0.62064,1.31058,1.32607,2.36343,0.0011885,0.0011885,0.0011885
19,486.225,0.86748,1.0515,1.42303,0.94122,0.98426,0.995,0.74852,1.00262,1.31632,2.00027,0.00117435,0.00117435,0.00117435
20,512.765,0.89968,1.04698,1.40573,0.89724,0.88889,0.93417,0.74159,0.9565,1.47426,2.00118,0.00116021,0.00116021,0.00116021
21,539.657,0.8359,0.96716,1.30575,0.97023,1,0.995,0.74315,1.10719,1.24485,2.04082,0.00114606,0.00114606,0.00114606
22,565.514,0.79503,0.90592,1.31592,0.95417,0.98794,0.995,0.78487,0.9886,1.22849,1.93629,0.00113191,0.00113191,0.00113191
23,591.459,0.85466,0.94862,1.37181,0.94339,1,0.995,0.78355,0.91166,1.11418,1.91187,0.00111776,0.00111776,0.00111776
24,618.541,0.79675,0.86999,1.298,0.95707,0.93949,0.995,0.69437,1.13649,1.26508,2.22526,0.00110362,0.00110362,0.00110362
25,643.241,0.80155,0.91549,1.34063,0.95358,1,0.995,0.75578,1.09443,1.19553,2.25119,0.00108947,0.00108947,0.00108947
26,665.904,0.77799,0.84993,1.27916,0.98182,1,0.995,0.79116,0.9782,0.98572,1.91195,0.00107532,0.00107532,0.00107532
27,691.476,0.7971,0.84371,1.33387,0.95215,1,0.995,0.76785,1.03119,0.98608,2.04955,0.00106118,0.00106118,0.00106118
28,714.762,0.77788,0.86028,1.31637,0.96444,0.88889,0.951,0.72402,1.05598,1.07598,2.08322,0.00104703,0.00104703,0.00104703
29,747.049,0.78559,0.81569,1.29094,0.94598,0.93471,0.995,0.79316,0.97416,1.04793,1.88289,0.00103288,0.00103288,0.00103288
30,793.93,0.75212,0.80286,1.27436,0.97204,0.99455,0.995,0.78346,1.00678,1.06219,1.94959,0.00101873,0.00101873,0.00101873
31,823.469,0.7614,0.7999,1.29872,0.98191,1,0.995,0.74059,1.16551,1.1455,2.26438,0.00100459,0.00100459,0.00100459
32,848.722,0.71277,0.85711,1.2445,0.97112,1,0.995,0.74636,0.96768,0.96256,1.97424,0.00099044,0.00099044,0.00099044
33,873.721,0.7631,0.77859,1.306,0.98005,1,0.995,0.80578,0.91498,0.89268,1.91128,0.000976293,0.000976293,0.000976293
34,898.303,0.73046,0.76984,1.25278,0.98235,1,0.995,0.83813,0.91355,0.89399,1.82398,0.000962146,0.000962146,0.000962146
35,923.295,0.70757,0.75368,1.24471,0.76505,1,0.995,0.8023,0.95299,1.03093,1.87241,0.000947999,0.000947999,0.000947999
36,948.736,0.69527,0.74713,1.24954,0.78705,0.98524,0.945,0.79152,0.88169,0.95685,1.7458,0.000933851,0.000933851,0.000933851
37,973.638,0.70777,0.67829,1.22263,0.90401,1,0.995,0.80658,0.93374,0.9175,1.86379,0.000919704,0.000919704,0.000919704
38,999.778,0.72293,0.76565,1.27198,0.98063,1,0.995,0.82035,0.9561,0.88247,1.96342,0.000905557,0.000905557,0.000905557
39,1025.72,0.71543,0.75109,1.24484,0.97702,1,0.995,0.82696,0.94561,0.7985,1.98759,0.00089141,0.00089141,0.00089141
40,1051.74,0.7496,0.70665,1.2874,0.96633,0.9948,0.995,0.80365,0.871,0.76449,1.8075,0.000877263,0.000877263,0.000877263
41,1077.68,0.6883,0.68354,1.23713,0.94304,0.93169,0.995,0.78489,0.86697,0.81133,1.73999,0.000863116,0.000863116,0.000863116
42,1103.94,0.6919,0.68921,1.23247,0.94929,0.98662,0.995,0.79329,0.95627,0.85383,1.91539,0.000848969,0.000848969,0.000848969
43,1131.66,0.64859,0.6509,1.20462,0.96969,0.93338,0.995,0.78532,0.96145,0.84976,1.92961,0.000834822,0.000834822,0.000834822
44,1162.14,0.68312,0.643,1.21942,0.87157,0.97208,0.96167,0.77108,1.05695,0.91756,2.09899,0.000820675,0.000820675,0.000820675
45,1188.61,0.67299,0.64697,1.24084,0.88436,0.94975,0.96167,0.80007,1.04259,0.92421,2.08045,0.000806528,0.000806528,0.000806528
46,1213.7,0.6997,0.62663,1.2903,0.88008,0.95859,0.995,0.80404,1.01031,0.8567,2.03148,0.00079238,0.00079238,0.00079238
47,1241.82,0.68224,0.63465,1.22087,0.94785,0.98545,0.995,0.80278,0.9749,0.80687,1.92297,0.000778233,0.000778233,0.000778233
48,1266.84,0.68479,0.66261,1.25754,0.95983,1,0.995,0.80038,0.9888,0.75962,1.95849,0.000764086,0.000764086,0.000764086
49,1292.64,0.62081,0.5619,1.19391,0.97873,1,0.995,0.79942,0.90575,0.76471,1.87382,0.000749939,0.000749939,0.000749939
50,1315.67,0.65394,0.58227,1.22195,0.97651,1,0.995,0.79943,0.8989,0.76342,1.84756,0.000735792,0.000735792,0.000735792
51,1341.83,0.66349,0.60576,1.22462,0.92289,0.99164,0.995,0.80597,0.95455,0.84154,1.95695,0.000721645,0.000721645,0.000721645
52,1366.98,0.62838,0.5685,1.18971,0.9888,0.9024,0.995,0.77569,1.05384,0.81357,2.08915,0.000707498,0.000707498,0.000707498
